retransmission_sequences,timestamp
35769,1680744305.7292101
35773,1680744305.729245
35871,1680744305.7303119
36039,1680744305.7385411
36047,1680744305.738576
36121,1680744305.740639
36283,1680744305.746751
36409,1680744305.7514281
36683,1680744305.763895
37412,1680744305.7893
37609,1680744305.789335
37305,1680744305.793535
37644,1680744305.793569
37653,1680744305.793617
37850,1680744305.7978399
38118,1680744305.811092
38324,1680744305.820042
38500,1680744305.820086
38535,1680744305.820117
38557,1680744305.8223
38665,1680744305.824382
38676,1680744305.826553
38849,1680744305.83277
38969,1680744305.837176
39014,1680744305.837208
39109,1680744305.8393338
39211,1680744305.842487
39215,1680744305.8446069
39324,1680744305.846703
39397,1680744305.849086
39403,1680744305.850519
39404,1680744305.8505669
39483,1680744305.852798
39525,1680744305.85487
39758,1680744305.869716
39812,1680744305.869741
39856,1680744305.869777
39900,1680744305.869822
39943,1680744305.869857
40043,1680744305.871989
40068,1680744305.8730502
40121,1680744305.874111
40165,1680744305.8771589
40330,1680744305.8839731
40337,1680744305.883998
40405,1680744305.884041
40472,1680744305.8871942
40611,1680744305.893302
40740,1680744305.8974028
40751,1680744305.897444
40929,1680744305.903571
40950,1680744305.90362
40956,1680744305.9036648
41016,1680744305.903712
41049,1680744305.9057522
41080,1680744305.9068
41099,1680744305.906833
41101,1680744305.906881
41342,1680744305.915041
41376,1680744305.9198039
41441,1680744305.91983
41480,1680744305.9198642
41482,1680744305.919899
41719,1680744305.927655
42071,1680744305.940647
42137,1680744305.949064
42309,1680744305.949089
42416,1680744305.953773
42519,1680744305.958124
42689,1680744305.9622478
42924,1680744305.9751391
42953,1680744305.975182
42968,1680744305.975283
43173,1680744305.977597
43353,1680744305.984289
43458,1680744305.988811
43576,1680744305.99293
43704,1680744305.9971771
43710,1680744305.997211
44139,1680744306.011415
44189,1680744306.011539
44224,1680744306.015884
44338,1680744306.015925
44425,1680744306.022679
44508,1680744306.022702
44510,1680744306.0227368
44609,1680744306.0262778
44611,1680744306.026311
44819,1680744306.033961
44841,1680744306.033984
44851,1680744306.0340219
44993,1680744306.041267
45049,1680744306.0412989
45121,1680744306.043401
45142,1680744306.0434382
45208,1680744306.046792
45278,1680744306.049133
45461,1680744306.055763
45531,1680744306.059772
45545,1680744306.059805
45568,1680744306.05985
45754,1680744306.067167
45806,1680744306.067213
45833,1680744306.0672588
45865,1680744306.0673149
46116,1680744306.083361
46135,1680744306.083384
46309,1680744306.083433
46546,1680744306.0898838
46567,1680744306.0939898
46790,1680744306.098144
46885,1680744306.103036
46890,1680744306.103059
46934,1680744306.103103
46988,1680744306.1062348
47161,1680744306.1125052
47316,1680744306.1170402
47558,1680744306.129766
47573,1680744306.129813
47655,1680744306.1298492
47807,1680744306.136383
47852,1680744306.1364071
47866,1680744306.13647
48055,1680744306.143632
48065,1680744306.1436732
48169,1680744306.145761
48218,1680744306.145795
48225,1680744306.14683
48238,1680744306.1468642
48306,1680744306.1506088
48581,1680744306.165476
48658,1680744306.16552
48734,1680744306.1655722
48885,1680744306.1722748
48913,1680744306.172308
49076,1680744306.1785212
49118,1680744306.1785548
49130,1680744306.178591
49233,1680744306.181959
49343,1680744306.1843
49418,1680744306.186559
49547,1680744306.1929998
49567,1680744306.193024
49751,1680744306.1994398
49753,1680744306.199473
49781,1680744306.199557
49834,1680744306.201022
49986,1680744306.2081752
50015,1680744306.2082171
50194,1680744306.2144508
50322,1680744306.218536
50563,1680744306.231363
50652,1680744306.231436
50751,1680744306.2314901
50807,1680744306.2347012
51068,1680744306.249156
51071,1680744306.2491798
51074,1680744306.249234
51133,1680744306.249286
51227,1680744306.249354
51842,1680744306.282888
51950,1680744306.282918
52121,1680744306.282986
52207,1680744306.283059
52348,1680744306.287595
52489,1680744306.2917309
52506,1680744306.291765
52536,1680744306.2918231
52716,1680744306.299228
52767,1680744306.30336
53053,1680744306.315673
53535,1680744306.341541
53596,1680744306.341567
53784,1680744306.341603
53848,1680744306.3416479
53956,1680744306.341702
53989,1680744306.341742
54108,1680744306.345689
54172,1680744306.347956
54284,1680744306.3503501
54287,1680744306.350396
54393,1680744306.3577542
54406,1680744306.3577979
54433,1680744306.357835
54534,1680744306.358927
54598,1680744306.3624141
54702,1680744306.364723
54845,1680744306.37115
55193,1680744306.38354
55208,1680744306.383598
55256,1680744306.3836648
55284,1680744306.3847392
55472,1680744306.3913379
55511,1680744306.395404
55589,1680744306.3954508
55612,1680744306.3954968
55702,1680744306.400479
55772,1680744306.402962
55812,1680744306.404063
55889,1680744306.406168
55910,1680744306.408299
55980,1680744306.410398
56096,1680744306.412502
56174,1680744306.419123
56194,1680744306.419162
56245,1680744306.4192069
56282,1680744306.419269
56320,1680744306.4208431
56362,1680744306.421921
56388,1680744306.422983
56546,1680744306.430814
56577,1680744306.4308548
56844,1680744306.446163
56871,1680744306.446196
56912,1680744306.44624
56930,1680744306.4462981
57003,1680744306.446343
57114,1680744306.4480672
57229,1680744306.4557319
57407,1680744306.4600031
57584,1680744306.4641972
57693,1680744306.4685261
57746,1680744306.472555
57768,1680744306.472588
58000,1680744306.478806
58634,1680744306.509223
58717,1680744306.509249
58775,1680744306.5093062
58779,1680744306.509346
58793,1680744306.5093918
58886,1680744306.509464
58897,1680744306.509503
58970,1680744306.51047
59142,1680744306.518574
59472,1680744306.5311549
59541,1680744306.531195
59543,1680744306.5312471
59578,1680744306.53131
59583,1680744306.5313652
59642,1680744306.5329669
59864,1680744306.540277
60293,1680744306.570615
60315,1680744306.5706391
60591,1680744306.570677
60652,1680744306.5707378
60662,1680744306.570782
60684,1680744306.570815
60742,1680744306.570873
61071,1680744306.587211
61162,1680744306.587256
61367,1680744306.591709
61444,1680744306.5961978
61607,1680744306.6006699
61848,1680744306.613035
61921,1680744306.613081
61938,1680744306.613125
61988,1680744306.61317
62183,1680744306.620527
62192,1680744306.620561
62235,1680744306.620596
62542,1680744306.636929
62789,1680744306.645005
62870,1680744306.645039
62924,1680744306.645089
62957,1680744306.645151
62959,1680744306.645185
63247,1680744306.6616561
63290,1680744306.661696
63297,1680744306.661746
63322,1680744306.661771
63378,1680744306.6618319
63399,1680744306.661877
63451,1680744306.6619232
63516,1680744306.662969
63542,1680744306.66475
63768,1680744306.672438
63861,1680744306.676564
63947,1680744306.680821
64036,1680744306.682884
64048,1680744306.682928
64091,1680744306.682979
64099,1680744306.68305
64180,1680744306.686181
64326,1680744306.692331
64331,1680744306.6923661
64373,1680744306.692401
64762,1680744306.709128
64891,1680744306.717727
64919,1680744306.717751
64940,1680744306.717788
65033,1680744306.717831
65120,1680744306.718455
65136,1680744306.718488
65172,1680744306.719552
65275,1680744306.7225878
65380,1680744306.7290041
65386,1680744306.729044
65418,1680744306.729101
65492,1680744306.730433
65502,1680744306.730467
65553,1680744306.736243
2,1680744306.736289
207,1680744306.7473931
217,1680744306.747463
222,1680744306.7475579
397,1680744306.760559
413,1680744306.7606149
575,1680744306.771769
733,1680744306.778986
806,1680744306.7873302
874,1680744306.787403
987,1680744306.7911522
999,1680744306.794815
1195,1680744306.813469
1248,1680744306.8135219
1311,1680744306.81361
1320,1680744306.813698
1349,1680744306.813747
1450,1680744306.819849
1762,1680744306.8448331
1781,1680744306.8448582
1929,1680744306.849104
1936,1680744306.849134
1963,1680744306.8491719
1966,1680744306.849232
2066,1680744306.85106
2106,1680744306.852136
2144,1680744306.853188
2225,1680744306.8563368
2621,1680744306.8705359
2974,1680744306.896716
2987,1680744306.8967402
3049,1680744306.8968
3083,1680744306.896856
3327,1680744306.896982
3548,1680744306.9004312
4097,1680744306.932673
4167,1680744306.932706
4192,1680744306.9327738
4213,1680744306.932839
4279,1680744306.932904
4674,1680744306.940275
4864,1680744306.944685
5011,1680744306.957213
5099,1680744306.957238
5139,1680744306.9572742
5205,1680744306.957324
5268,1680744306.958434
5359,1680744306.9615722
5483,1680744306.968214
5540,1680744306.968238
5610,1680744306.970285
5910,1680744306.985318
5929,1680744306.985343
6424,1680744306.9979389
6466,1680744306.9979892
6488,1680744307.002485
6517,1680744307.002521
6692,1680744307.008569
6718,1680744307.0086179
6777,1680744307.00864
7015,1680744307.016224
7301,1680744307.028397
7648,1680744307.036802
7676,1680744307.04514
8137,1680744307.054073
8267,1680744307.0621681
8368,1680744307.062217
8461,1680744307.066716
8684,1680744307.070878
9084,1680744307.1004019
9095,1680744307.1004422
9226,1680744307.100503
9302,1680744307.1005461
9325,1680744307.100595
9493,1680744307.100632
9521,1680744307.100677
9603,1680744307.101548
9630,1680744307.103177
9706,1680744307.106325
9812,1680744307.108636
9825,1680744307.110933
9895,1680744307.112978
10235,1680744307.129092
10395,1680744307.1291258
10412,1680744307.1291788
10451,1680744307.13142
10491,1680744307.133816
10531,1680744307.133847
10551,1680744307.133906
10823,1680744307.150582
10879,1680744307.150607
10948,1680744307.1506538
10997,1680744307.15071
11060,1680744307.151798
11100,1680744307.152846
11153,1680744307.154452
11158,1680744307.154485
11255,1680744307.158161
11292,1680744307.159255
11310,1680744307.160303
11383,1680744307.1633432
11395,1680744307.163376
11471,1680744307.166571
11641,1680744307.172736
11657,1680744307.172776
11706,1680744307.172818
12747,1680744307.238467
12756,1680744307.238528
12951,1680744307.238591
12976,1680744307.238637
13084,1680744307.238716
13100,1680744307.2387671
13142,1680744307.2388291
13500,1680744307.2388842
13523,1680744307.2389472
13770,1680744307.241138
13777,1680744307.2412102
13883,1680744307.2452219
14015,1680744307.2521589
14252,1680744307.264469
14286,1680744307.264512
14404,1680744307.2645729
14431,1680744307.264629
14520,1680744307.268109
14594,1680744307.2701068
14633,1680744307.2701418
14770,1680744307.278217
15117,1680744307.29115
15297,1680744307.299563
15327,1680744307.299595
15541,1680744307.303676
15616,1680744307.30372
15786,1680744307.309886
16026,1680744307.323781
16118,1680744307.3238049
16146,1680744307.3238468
16227,1680744307.323887
16447,1680744307.331257
16467,1680744307.335806
16690,1680744307.339933
16791,1680744307.3440242
16809,1680744307.344069
17064,1680744307.359159
17165,1680744307.359207
17326,1680744307.363713
17362,1680744307.36375
17591,1680744307.370293
17601,1680744307.370324
17603,1680744307.370361
17633,1680744307.372489
17636,1680744307.372525
17774,1680744307.37888
17785,1680744307.378916
17833,1680744307.378998
17842,1680744307.379027
17874,1680744307.379601
18107,1680744307.391853
18116,1680744307.3918872
18148,1680744307.391924
18362,1680744307.396062
18527,1680744307.408705
18806,1680744307.413007
18852,1680744307.413043
18925,1680744307.415313
18948,1680744307.4166021
19142,1680744307.422799
19247,1680744307.426989
19276,1680744307.4270341
19491,1680744307.4342668
19866,1680744307.4468322
19948,1680744307.455412
19964,1680744307.455436
20042,1680744307.455474
20162,1680744307.4576252
20229,1680744307.459955
20283,1680744307.462027
20355,1680744307.464213
20364,1680744307.464264
20439,1680744307.467712
20539,1680744307.469764
