Sequence_number,timestamp
33136,1680744298.871287
33139,1680744298.8713012
33207,1680744298.876231
33361,1680744298.880446
33387,1680744298.8804932
33440,1680744298.880579
33472,1680744298.885483
33491,1680744298.88655
33796,1680744298.8948789
33810,1680744298.894909
33825,1680744298.894939
33834,1680744298.8949592
33874,1680744298.895025
33939,1680744298.895126
34006,1680744298.903876
34034,1680744298.9045088
34125,1680744298.9067452
34337,1680744298.911117
34459,1680744298.9153368
34528,1680744298.920078
34530,1680744298.9200902
34710,1680744298.92625
34798,1680744298.9303281
34870,1680744298.93044
35012,1680744298.937045
35085,1680744298.93716
35152,1680744298.9412029
35193,1680744298.9433029
35195,1680744298.9433138
35307,1680744298.946777
35364,1680744298.948972
35432,1680744298.951607
35481,1680744298.9537349
35497,1680744298.9537668
35799,1680744298.963043
35941,1680744298.963258
36020,1680744298.9715059
36085,1680744298.9716108
36161,1680744298.975799
36261,1680744298.980088
36278,1680744298.9801228
36569,1680744298.987267
36652,1680744298.991394
37080,1680744299.000126
37115,1680744299.008163
37126,1680744299.008188
37230,1680744299.008349
37301,1680744299.008458
37320,1680744299.008493
37331,1680744299.008517
37879,1680744299.033602
37884,1680744299.0336251
38009,1680744299.03383
38128,1680744299.034016
38533,1680744299.0539021
38545,1680744299.053928
38621,1680744299.060003
38682,1680744299.0601
38684,1680744299.06011
38730,1680744299.060184
38731,1680744299.060193
38736,1680744299.060208
38743,1680744299.060225
38748,1680744299.0642061
38821,1680744299.0668318
39093,1680744299.075168
39098,1680744299.0751832
39109,1680744299.075208
39277,1680744299.075456
39314,1680744299.075517
39344,1680744299.0840588
39355,1680744299.084084
39444,1680744299.0870001
39568,1680744299.091448
39694,1680744299.096046
39773,1680744299.096171
39876,1680744299.103029
39916,1680744299.1030972
40000,1680744299.107153
40028,1680744299.1072052
40034,1680744299.107222
40143,1680744299.110991
40152,1680744299.111012
40263,1680744299.114312
40269,1680744299.1165068
40307,1680744299.116577
40367,1680744299.120047
40373,1680744299.120063
40428,1680744299.1221912
40523,1680744299.1245592
40538,1680744299.1245902
40794,1680744299.134285
40834,1680744299.134352
40851,1680744299.1343842
40889,1680744299.134449
40891,1680744299.1344588
41089,1680744299.144212
41234,1680744299.148462
41340,1680744299.15258
41365,1680744299.1526248
41380,1680744299.1526551
41424,1680744299.152728
41464,1680744299.1527932
41476,1680744299.1576152
41598,1680744299.159828
41687,1680744299.164012
41696,1680744299.164033
41705,1680744299.164053
41707,1680744299.164063
41723,1680744299.164093
41982,1680744299.1730509
42029,1680744299.1731288
42257,1680744299.18356
42417,1680744299.1838121
42449,1680744299.183867
42516,1680744299.1924748
42522,1680744299.192493
42732,1680744299.197911
42761,1680744299.197966
42780,1680744299.20285
43016,1680744299.207266
43033,1680744299.2073002
43609,1680744299.226395
43660,1680744299.226481
43771,1680744299.226648
43839,1680744299.2267551
44125,1680744299.2454138
44153,1680744299.245465
44157,1680744299.2454789
44178,1680744299.245517
44207,1680744299.250255
44384,1680744299.254465
44511,1680744299.2589371
44561,1680744299.25902
44632,1680744299.263241
44671,1680744299.265406
44693,1680744299.2654579
44717,1680744299.268429
44799,1680744299.270606
45095,1680744299.279011
45131,1680744299.279072
45166,1680744299.279132
45261,1680744299.2792761
45342,1680744299.288646
45395,1680744299.290859
45405,1680744299.290881
45450,1680744299.292873
45596,1680744299.296267
45635,1680744299.296334
45673,1680744299.2963982
45899,1680744299.3082392
45971,1680744299.308353
46066,1680744299.308498
46084,1680744299.308533
46248,1680744299.317895
46302,1680744299.320111
46388,1680744299.325113
46390,1680744299.325127
46435,1680744299.3251991
46640,1680744299.333171
46648,1680744299.333193
46667,1680744299.3332338
46742,1680744299.3377018
46842,1680744299.33989
47111,1680744299.348253
47280,1680744299.348505
47481,1680744299.3610592
47521,1680744299.3611982
47700,1680744299.369846
47708,1680744299.369867
47717,1680744299.369888
47771,1680744299.369976
47903,1680744299.375852
47947,1680744299.378022
48091,1680744299.3823528
48197,1680744299.386733
48332,1680744299.39093
48388,1680744299.391019
48392,1680744299.3910332
48403,1680744299.3910558
48487,1680744299.3958578
48514,1680744299.396922
48572,1680744299.399115
48687,1680744299.403258
48791,1680744299.403414
48876,1680744299.409651
49061,1680744299.413898
49431,1680744299.42253
49482,1680744299.422614
49539,1680744299.4307818
49573,1680744299.430845
49722,1680744299.437394
49847,1680744299.441508
49997,1680744299.445863
50239,1680744299.4544399
50485,1680744299.4628842
50636,1680744299.463108
50698,1680744299.463205
51006,1680744299.4776099
51077,1680744299.4777222
51355,1680744299.49014
51360,1680744299.490156
51441,1680744299.490282
51450,1680744299.4903018
51456,1680744299.490318
51533,1680744299.490436
51643,1680744299.50119
51681,1680744299.501258
51807,1680744299.506512
51815,1680744299.5065322
51844,1680744299.5065799
51922,1680744299.5106502
51931,1680744299.5106728
51986,1680744299.512397
52021,1680744299.5145652
52147,1680744299.518687
52304,1680744299.523107
52418,1680744299.5274508
52698,1680744299.5361228
53296,1680744299.5526478
53315,1680744299.552686
53321,1680744299.552702
53364,1680744299.552774
53416,1680744299.5528572
53533,1680744299.5530329
53754,1680744299.571806
53924,1680744299.576044
54026,1680744299.580202
54031,1680744299.5802188
54163,1680744299.584727
54192,1680744299.586933
54252,1680744299.589029
54358,1680744299.591191
54458,1680744299.595753
54659,1680744299.600022
54662,1680744299.6000352
54835,1680744299.606626
54994,1680744299.6108348
54998,1680744299.610848
55082,1680744299.617235
55147,1680744299.6173398
55186,1680744299.617407
55325,1680744299.624842
55342,1680744299.6248739
55388,1680744299.624948
55398,1680744299.624971
55549,1680744299.63318
55778,1680744299.637654
55821,1680744299.6419148
55971,1680744299.6461189
55973,1680744299.6461298
56029,1680744299.646219
56109,1680744299.65176
56163,1680744299.653908
56227,1680744299.655999
56259,1680744299.656053
56274,1680744299.657999
56277,1680744299.6580591
56457,1680744299.662584
56822,1680744299.6710029
56823,1680744299.671013
56843,1680744299.67105
56906,1680744299.671148
57400,1680744299.695134
57468,1680744299.6952431
57497,1680744299.695294
57514,1680744299.695327
57568,1680744299.695412
57598,1680744299.695463
57733,1680744299.6956632
57743,1680744299.6956868
58056,1680744299.716444
58095,1680744299.716512
58126,1680744299.716567
58144,1680744299.7166011
58169,1680744299.7209759
58362,1680744299.725277
58448,1680744299.7295659
58584,1680744299.7337348
58840,1680744299.7419388
58900,1680744299.742033
59311,1680744299.754555
59379,1680744299.754663
59502,1680744299.7628338
59583,1680744299.767144
59688,1680744299.767307
59891,1680744299.7776692
59900,1680744299.777691
59965,1680744299.777792
60080,1680744299.777966
60151,1680744299.7864478
60538,1680744299.795273
60602,1680744299.795373
60667,1680744299.803757
60826,1680744299.8079329
60946,1680744299.812017
61115,1680744299.8161511
61116,1680744299.816161
61137,1680744299.8161988
61412,1680744299.827899
61456,1680744299.8279722
61471,1680744299.828002
61542,1680744299.8281128
61548,1680744299.82813
61701,1680744299.8385339
61709,1680744299.8385541
61915,1680744299.843872
61955,1680744299.84394
61994,1680744299.847908
